ITEM#,friction,bendingWeft,bucklingStiffnessWeft,thickness,bucklingStiffnessBias,bucklingRatioWarp,bendingBias,internalDamping,stretchWarp,stretchWeft,bucklingRatioWias,bucklingRatioWeft,density,shear,bendingWarp,bucklingStiffnessWarp
CL-010,0.029999999329447746,173.9501953125,0.0,0.38999998569488525,0.0,0.0,161.7431640625,9.999999747378752e-05,117883.1796875,136282.03125,0.0,0.0,165.65655517578125,35531.71875,149.5361328125,0.0
COCOA,0.029999999329447746,6246.9482421875,0.0,0.20800000429153442,0.0,0.0,6246.9482421875,9.999999747378752e-05,1000000.0,1000000.0,0.0,0.0,135.85858154296875,188070.796875,6246.9482421875,0.0
COMO METAL,0.029999999329447746,7809.4482421875,0.0,0.5299999713897705,0.0,0.0,6640.625,9.999999747378752e-05,1000000.0,1000000.0,0.0,0.0,129.2929229736328,57515.40234375,5471.8017578125,0.0
COMO TWEED,0.029999999329447746,37503.05078125,0.0,0.7730000019073486,0.0,0.0,25390.625,9.999999747378752e-05,1000000.0,1000000.0,0.0,0.0,213.63636779785156,69624.734375,13278.1982421875,0.0
CONSTELLATION,0.029999999329447746,540.1611328125,0.0,0.23999999463558197,0.0,0.0,756.8359375,9.999999747378752e-05,545102.375,616357.625,0.0,0.0,111.11111450195312,14767.84375,973.5107421875,0.0
D0411,0.029999999329447746,241.0888671875,0.0,0.44600000977516174,0.0,0.0,2069.091796875,9.999999747378752e-05,890994.6875,30357.513671875,0.0,0.0,249.4949493408203,7358.28515625,3897.0947265625,0.0
D0600-1,0.029999999329447746,6246.9482421875,0.0,0.6299999952316284,0.0,0.0,4879.7607421875,9.999999747378752e-05,400358.09375,103269.140625,0.0,0.0,335.3535461425781,24819.50390625,3512.5732421875,0.0
DG-9926,0.029999999329447746,2346.8017578125,0.0,0.17599999904632568,0.0,0.0,1321.4111328125,9.999999747378752e-05,206493.6875,869917.75,0.0,0.0,53.03030014038086,6483.4853515625,296.0205078125,0.0
DG-9947,0.029999999329447746,24996.94921875,0.0,0.3700000047683716,0.0,0.0,12670.8984375,9.999999747378752e-05,165020.375,116197.4453125,0.0,0.0,200.0,55164.84375,344.8486328125,0.0
DJ-174,0.029999999329447746,1321.4111328125,0.0,1.1749999523162842,0.0,0.0,3005.9814453125,9.999999747378752e-05,479410.5,122044.3203125,0.0,0.0,326.26263427734375,50845.0625,4690.5517578125,0.0
DN-7724SD,0.029999999329447746,192.2607421875,0.0,0.4399999976158142,0.0,0.0,384.521484375,9.999999747378752e-05,32946.953125,282518.625,0.0,0.0,194.94949340820312,236288.109375,576.7822265625,0.0
DN-7748-J,0.029999999329447746,271.6064453125,0.0,0.4519999921321869,0.0,0.0,354.00390625,9.999999747378752e-05,175324.90625,201512.921875,0.0,0.0,186.8686981201172,108753.09375,436.4013671875,0.0
DNN-4034-OP-6-2L,0.029999999329447746,192.2607421875,0.0,0.33000001311302185,0.0,0.0,216.6748046875,9.999999747378752e-05,267178.5,464928.1875,0.0,0.0,171.21212768554688,286394.3125,241.0888671875,0.0
DNN-4150FD BRUSHED,0.029999999329447746,1559.4482421875,0.0,0.6899999976158142,0.0,0.0,1538.0859375,9.999999747378752e-05,272082.90625,137538.890625,0.0,0.0,217.17172241210938,100576.3046875,1516.7236328125,0.0
DNPD-4022,0.029999999329447746,241.0888671875,0.0,0.550000011920929,0.0,0.0,659.1796875,9.999999747378752e-05,269291.0625,113098.2265625,0.0,0.0,185.8585968017578,193806.765625,1077.2705078125,0.0
DONGYANG SILK #2,0.029999999329447746,1370.2392578125,0.0,0.4620000123977661,0.0,0.0,2981.5673828125,9.999999747378752e-05,519885.125,464913.9375,0.0,0.0,243.93939208984375,36929.3359375,4592.8955078125,0.0
DOWN SKIN,0.029999999329447746,497.4365234375,0.0,0.5099999904632568,0.0,0.0,1028.4423828125,9.999999747378752e-05,650440.875,205781.75,0.0,0.0,253.03030395507812,224326.046875,1559.4482421875,0.0
DP-J02008-SR01,0.029999999329447746,149.5361328125,0.0,0.3720000088214874,0.0,0.0,149.5361328125,9.999999747378752e-05,12403.30078125,7350.22021484375,0.0,0.0,151.01010131835938,6129.32763671875,149.5361328125,0.0
DP-J03647-SR02,0.029999999329447746,271.6064453125,0.0,0.7900000214576721,0.0,0.0,378.41796875,9.999999747378752e-05,130502.1015625,168782.84375,0.0,0.0,207.5757598876953,55932.25,485.2294921875,0.0
DP-J50997-SC30,0.029999999329447746,119.0185546875,0.0,0.4620000123977661,0.0,0.0,119.0185546875,9.999999747378752e-05,12439.4287109375,8844.1640625,0.0,0.0,214.64646911621094,3763.723876953125,119.0185546875,0.0
DP-J50998-SR30,0.029999999329447746,149.5361328125,0.0,0.4699999988079071,0.0,0.0,170.8984375,9.999999747378752e-05,105543.96875,230324.796875,0.0,0.0,188.88890075683594,52233.52734375,192.2607421875,0.0
DP-J52014-SD30,0.029999999329447746,588.9892578125,0.0,0.5339999794960022,0.0,0.0,695.80078125,9.999999747378752e-05,55658.609375,30391.744140625,0.0,0.0,204.5454559326172,9882.0859375,802.6123046875,0.0
DRAGONFLY METAL JQD,0.029999999329447746,49996.94921875,0.0,0.5740000009536743,0.0,0.0,28027.34375,9.999999747378752e-05,1000000.0,1000000.0,0.0,0.0,249.4949493408203,19588.806640625,6057.7392578125,0.0
DSS-01,0.029999999329447746,87503.046875,0.0,1.0379999876022339,0.0,0.0,49999.99609375,9.999999747378752e-05,726391.1875,1000000.0,0.0,0.0,354.5454406738281,26968.453125,12496.9482421875,0.0
DSS-02,0.029999999329447746,49996.94921875,0.0,0.6259999871253967,0.0,0.0,28121.94921875,9.999999747378752e-05,1000000.0,1000000.0,0.0,0.0,256.06060791015625,42650.3984375,6246.9482421875,0.0
DSS-04,0.029999999329447746,24996.94921875,0.0,0.5519999861717224,0.0,0.0,14059.44921875,9.999999747378752e-05,183412.953125,423530.15625,0.0,0.0,184.34344482421875,6088.1484375,3121.9482421875,0.0
DSS-05,0.029999999329447746,24996.94921875,0.0,0.6869999766349792,0.0,0.0,14843.75,9.999999747378752e-05,493986.3125,1000000.0,0.0,0.0,224.74746704101562,124954.7109375,4690.5517578125,0.0
DSS-06,0.029999999329447746,48440.55078125,0.0,0.5699999928474426,0.0,0.0,28909.30078125,9.999999747378752e-05,1000000.0,1000000.0,0.0,0.0,188.88890075683594,126114.7109375,9378.0517578125,0.0
DSS-08,0.029999999329447746,6246.9482421875,0.0,0.37400001287460327,0.0,0.0,3857.421875,9.999999747378752e-05,273205.375,301309.875,0.0,0.0,130.80809020996094,6707.87939453125,1467.8955078125,0.0
DSS-11,0.029999999329447746,24996.94921875,0.0,0.7850000262260437,0.0,0.0,16403.19921875,9.999999747378752e-05,141163.9375,1000000.0,0.0,0.0,297.4747314453125,49967.0546875,7809.4482421875,0.0
DSS-12,0.029999999329447746,12112.4267578125,0.0,0.4659999907016754,0.0,0.0,7055.6640625,9.999999747378752e-05,670963.625,1000000.0,0.0,0.0,167.17172241210938,45517.8203125,1998.9013671875,0.0
DSS-13,0.029999999329447746,18753.05078125,0.0,0.6000000238418579,0.0,0.0,9963.98828125,9.999999747378752e-05,513246.0,771302.25,0.0,0.0,206.06060791015625,40595.97265625,1174.9267578125,0.0
DSS-17,0.029999999329447746,12496.9482421875,0.0,0.828000009059906,0.0,0.0,7421.875,9.999999747378752e-05,344290.4375,1000000.0,0.0,0.0,231.8181915283203,39888.05078125,2346.8017578125,0.0
DSS-20,0.029999999329447746,12496.9482421875,0.0,0.4300000071525574,0.0,0.0,6396.484375,9.999999747378752e-05,427848.15625,676050.25,0.0,0.0,163.13131713867188,3825.9501953125,296.0205078125,0.0
DSS-21,0.029999999329447746,12405.3955078125,0.0,0.8399999737739563,0.0,0.0,7031.25,9.999999747378752e-05,406354.625,1000000.0,0.0,0.0,244.44444274902344,8486.4150390625,1657.1044921875,0.0
DSS-24,0.029999999329447746,12496.9482421875,0.0,0.5630000233650208,0.0,0.0,7421.875,9.999999747378752e-05,476793.75,933563.8125,0.0,0.0,135.35353088378906,13493.275390625,2346.8017578125,0.0
DSS-25,0.029999999329447746,18753.05078125,0.0,0.3700000047683716,0.0,0.0,10937.5,9.999999747378752e-05,1000000.0,1000000.0,0.0,0.0,136.8686981201172,18359.3984375,3121.9482421875,0.0
ELA-73F P,0.029999999329447746,827.0263671875,0.0,0.8159999847412109,0.0,0.0,1098.6328125,9.999999747378752e-05,53356.15234375,44746.41015625,0.0,0.0,252.5252685546875,27577.3046875,1370.2392578125,0.0
F-119,0.029999999329447746,399.7802734375,0.0,0.5339999794960022,0.0,0.0,341.796875,9.999999747378752e-05,31382.236328125,29820.171875,0.0,0.0,144.44444274902344,5982.76806640625,283.8134765625,0.0
Fleece Pile 1-2,0.029999999329447746,9378.0517578125,0.0,0.9039999842643738,0.0,0.0,6640.625,9.999999747378752e-05,152007.078125,65384.28125,0.0,0.0,212.12120056152344,47215.43359375,3903.1982421875,0.0
GA9435CXL,0.029999999329447746,790.4052734375,0.0,0.20999999344348907,0.0,0.0,1956.1767578125,9.999999747378752e-05,1000000.0,1000000.0,0.0,0.0,97.97979736328125,126843.6875,3121.9482421875,0.0
GF038SBW,0.029999999329447746,1559.4482421875,0.0,0.41200000047683716,0.0,0.0,1754.7607421875,9.999999747378752e-05,307299.5,202063.78125,0.0,0.0,128.2828369140625,18096.12890625,1950.0732421875,0.0
GKS-554XL3-C,0.029999999329447746,3512.5732421875,0.0,0.9139999747276306,0.0,0.0,3707.8857421875,9.999999747378752e-05,330639.78125,489515.25,0.0,0.0,361.1111145019531,192926.171875,3903.1982421875,0.0
GKS-590XL3,0.029999999329447746,1608.2763671875,0.0,0.6299999952316284,0.0,0.0,1779.1748046875,9.999999747378752e-05,368058.9375,332759.65625,0.0,0.0,244.44444274902344,292826.53125,1950.0732421875,0.0
GM514TXL,0.029999999329447746,3121.9482421875,0.0,0.33399999141693115,0.0,0.0,5075.0732421875,9.999999747378752e-05,1000000.0,1000000.0,0.0,0.0,176.2626190185547,184268.546875,7028.1982421875,0.0
GQ020XL,0.029999999329447746,6295.7763671875,0.0,0.3499999940395355,0.0,0.0,6271.3623046875,9.999999747378752e-05,1000000.0,1000000.0,0.0,0.0,241.41415405273438,285027.0625,6246.9482421875,0.0
H2O-M24B,0.029999999329447746,6246.9482421875,0.0,0.7099999785423279,0.0,0.0,10934.4482421875,9.999999747378752e-05,1000000.0,829791.625,0.0,0.0,292.4242248535156,1000000.0,15621.9482421875,0.0
H2O-N567,0.029999999329447746,192.2607421875,0.0,0.12999999523162842,0.0,0.0,115.966796875,9.999999747378752e-05,1000000.0,1000000.0,0.0,0.0,86.36363983154297,1000000.0,39.6728515625,0.0
H2O-TH-55,0.029999999329447746,1950.0732421875,0.0,0.38999998569488525,0.0,0.0,1071.1669921875,9.999999747378752e-05,474127.40625,194082.53125,0.0,0.0,167.67677307128906,27580.63671875,192.2607421875,0.0
H2O-XC117,0.029999999329447746,1657.1044921875,0.0,0.5899999737739563,0.0,0.0,2389.5263671875,9.999999747378752e-05,373669.3125,120882.7421875,0.0,0.0,325.757568359375,313670.0625,3121.9482421875,0.0
H2O-XN205,0.029999999329447746,3219.6044921875,0.0,0.6880000233650208,0.0,0.0,2487.1826171875,9.999999747378752e-05,407893.90625,616559.125,0.0,0.0,270.7070617675781,2985.35888671875,1754.7607421875,0.0
H2O-XN306,0.029999999329447746,485.2294921875,0.0,0.40400001406669617,0.0,0.0,781.25,9.999999747378752e-05,497006.28125,347789.03125,0.0,0.0,186.8686981201172,409903.4375,1077.2705078125,0.0
H2O-XN494,0.029999999329447746,241.0888671875,0.0,0.2800000011920929,0.0,0.0,363.1591796875,9.999999747378752e-05,376863.71875,580825.5,0.0,0.0,147.9798126220703,193431.9375,485.2294921875,0.0
HF-7209,0.029999999329447746,119.0185546875,0.0,0.5099999904632568,0.0,0.0,277.7099609375,9.999999747378752e-05,18416.14453125,80951.1640625,0.0,0.0,147.47476196289062,48629.984375,436.4013671875,0.0
HICOZY-AS-0960,0.029999999329447746,2346.8017578125,0.0,0.47999998927116394,0.0,0.0,1443.4814453125,9.999999747378752e-05,93095.3125,54841.60546875,0.0,0.0,298.4848327636719,28617.693359375,540.1611328125,0.0
HN 2870,0.029999999329447746,1126.0986328125,0.0,0.6100000143051147,0.0,0.0,1730.3466796875,9.999999747378752e-05,202969.84375,207878.40625,0.0,0.0,222.72726440429688,57556.44140625,2334.5947265625,0.0
HP-5202,0.029999999329447746,216.6748046875,0.0,0.5099999904632568,0.0,0.0,595.0927734375,9.999999747378752e-05,45500.7265625,29907.63671875,0.0,0.0,198.48484802246094,11581.224609375,973.5107421875,0.0
HS-RD1179,0.029999999329447746,973.5107421875,0.0,0.30000001192092896,0.0,0.0,854.4921875,9.999999747378752e-05,106193.8671875,194894.03125,0.0,0.0,158.58587646484375,39250.82421875,735.4736328125,0.0
HS360 SUEDE,0.029999999329447746,6057.7392578125,0.0,0.9900000095367432,0.0,0.0,10058.59375,9.999999747378752e-05,320120.34375,58833.7109375,0.0,0.0,354.0404052734375,99103.46875,14059.4482421875,0.0
ITARY FLOWER JACQUARD,0.029999999329447746,37503.05078125,0.0,0.6299999952316284,0.0,0.0,22656.25,9.999999747378752e-05,1000000.0,1000000.0,0.0,0.0,199.4949493408203,69819.6484375,7809.4482421875,0.0
J-P7503-1,0.029999999329447746,3512.5732421875,0.0,0.20900000631809235,0.0,0.0,2441.40625,9.999999747378752e-05,59887.546875,1000000.0,0.0,0.0,121.21212768554688,365000.0625,1370.2392578125,0.0
J17-0880,0.029999999329447746,875.8544921875,0.0,1.0399999618530273,0.0,0.0,1998.9013671875,9.999999747378752e-05,178998.640625,176271.171875,0.0,0.0,243.93939208984375,21866.755859375,3121.9482421875,0.0
JQ 0900 D,0.029999999329447746,241.0888671875,0.0,0.10000000149011612,0.0,0.0,708.0078125,9.999999747378752e-05,1000000.0,1000000.0,0.0,0.0,74.24242401123047,6023.97705078125,1174.9267578125,0.0
JQ 1515,0.029999999329447746,588.9892578125,0.0,0.10999999940395355,0.0,0.0,1086.42578125,9.999999747378752e-05,1000000.0,1000000.0,0.0,0.0,66.16161346435547,9141.154296875,1583.8623046875,0.0
JQ 2611,0.029999999329447746,1559.4482421875,0.0,0.11999999731779099,0.0,0.0,1217.6513671875,9.999999747378752e-05,1000000.0,1000000.0,0.0,0.0,87.37373352050781,88910.046875,875.8544921875,0.0
JQ 3800,0.029999999329447746,1174.9267578125,0.0,0.12800000607967377,0.0,0.0,1562.5,9.999999747378752e-05,1000000.0,1000000.0,0.0,0.0,81.3131332397461,8749.373046875,1950.0732421875,0.0
JQ 4040,0.029999999329447746,802.6123046875,0.0,0.15000000596046448,0.0,0.0,1574.70703125,9.999999747378752e-05,1000000.0,800260.875,0.0,0.0,102.02020263671875,22833.541015625,2346.8017578125,0.0
KBR-6338PZ,0.029999999329447746,18753.05078125,0.0,0.25,0.0,0.0,10937.5,9.999999747378752e-05,152023.84375,213724.953125,0.0,0.0,203.53536987304688,198108.859375,3121.9482421875,0.0
KCF-16-123,0.029999999329447746,411.9873046875,0.0,1.190000057220459,0.0,0.0,1181.0302734375,9.999999747378752e-05,55496.40625,27224.578125,0.0,0.0,245.4545440673828,24201.6171875,1950.0732421875,0.0
