ITEM#,Resource,WEIGHT (G/SM),Cuttable Width(inch),Fabric  Category,Fabric Type,FABRIC CONTENT 1,FABRIC CONTENT 2,FABRIC CONTENT 3,FABRIC CONTENT 4,FABRIC CONTENT 5,bendingLeftBias,bendingRightBias,bendingWarp,bendingWeft,bucklingRatioLeftBias,bucklingRatioRightBias,bucklingRatioWarp,bucklingRatioWeft,bucklingStiffnessLeftBias,bucklingStiffnessRightBias,bucklingStiffnessWarp,bucklingStiffnessWeft,density,friction,internalDamping,leftShear,rightShear,stretchWarp,stretchWeft,thickness
7A7542,KTTA & KOTITI,275,,knit,,"polyester 86%, ",EL 14%,,,,,,,,,,,,,,,,,,,,,,,
7A7542C,KTTA & KOTITI,161,,Woven,,"cotton 60%, ",polyamide 40%,,,,,,,,,,,,,,,,,,,,,,,
7A7557,KTTA & KOTITI,83,,Woven,Poplin,Silk 100%,,,,,,,,,,,,,,,,,,,,,,,,
7A7815,KTTA & KOTITI,355,,Woven,Twill,"wool 26%, ","cotton 44%, ",polyamide 9%,,,,,,,,,,,,,,,,,,,,,,
AC-291 BR-3L,KTTA & KOTITI,215,,knit,,"Modal60%,",polyester 40%,,,,NaN,NaN,24996.95,12496.95,NaN,NaN,NaN,0,NaN,NaN,0,0,280.8081,0.03,1.00E-04,NaN,NaN,148015.6,165639.9,0.44
AD14139 FD,KTTA & KOTITI,189,,Woven,,"polyester 57%, ",cotton 30%,", ME 13%",,,NaN,NaN,14059.45,9378.052,NaN,NaN,NaN,0,NaN,NaN,0,0,361.1111,0.03,1.00E-04,NaN,NaN,596273.3,797363.9,0.72
AE-1508 BO,KTTA & KOTITI,95,,knit,,polyester 100%,,,,,NaN,NaN,973.5107,3030.396,NaN,NaN,NaN,0,NaN,NaN,0,0,161.6162,0.03,1.00E-04,NaN,NaN,108976,173539.3,0.24
AE-1586 JVW1,KTTA & KOTITI,212,,Woven,,polyester 100%,,,,,NaN,NaN,9378.052,24996.95,NaN,NaN,NaN,0,NaN,NaN,0,0,161.1111,0.03,1.00E-04,NaN,NaN,53664.46,205435.9,0.25
AMBER,KTTA & KOTITI,131,,Woven,,polyester 80%,", cotton 20%",,,,NaN,NaN,6246.948,3121.948,NaN,NaN,NaN,0,NaN,NaN,0,0,189.3939,0.03,1.00E-04,NaN,NaN,1000000,1000000,0.317
ATTIVO-K1046-P,KTTA & KOTITI,165,,knit,,"polyester 92%, ",Polyurethane 8%,,,,NaN,NaN,607.2998,3121.948,NaN,NaN,NaN,0,NaN,NaN,0,0,128.7879,0.03,1.00E-04,NaN,NaN,539847.3,1000000,0.233
AVIS 4300,KTTA & KOTITI,299,,knit,,"polyamide 47%, 
","polyester 31%,",EL 22%,,,NaN,NaN,1370.239,778.1982,NaN,NaN,NaN,0,NaN,NaN,0,0,80.30303,0.03,1.00E-04,NaN,NaN,1000000,1000000,0.13
BACK SULUB F-TERRY,KTTA & KOTITI,171,,knit,,"polyamide 75%, ",EL 25%,,,,NaN,NaN,3903.198,4690.552,NaN,NaN,NaN,0,NaN,NaN,0,0,298.4848,0.03,1.00E-04,NaN,NaN,33197.14,46255.92,0.982
BACK TWIST F-TERRY,KTTA & KOTITI,385,,knit,,"polyester 87%,",EL 13%,,,,NaN,NaN,1370.239,5471.802,NaN,NaN,NaN,0,NaN,NaN,0,0,381.8182,0.03,1.00E-04,NaN,NaN,488198.9,522712.1,1.37
BB0070A-1,KTTA & KOTITI,27,,Woven,,polyamide 100%,,,,,NaN,NaN,149.5361,2151.489,NaN,NaN,NaN,0,NaN,NaN,0,0,120.202,0.03,1.00E-04,NaN,NaN,97166.38,106237.6,0.34
BB0070A-2,KTTA & KOTITI,345,,knit,,"polyester 95%, ",EL 5%,,,,NaN,NaN,119.0186,2346.802,NaN,NaN,NaN,0,NaN,NaN,0,0,127.2727,0.03,1.00E-04,NaN,NaN,48976.04,104741,0.328
BB0070A-3,KTTA & KOTITI,184,,Woven,,"polyester 82%, ",cotton 18%,,,,NaN,NaN,173.9502,485.2295,NaN,NaN,NaN,0,NaN,NaN,0,0,127.7778,0.03,1.00E-04,NaN,NaN,23535.45,41155.25,0.312
BD-0120,KTTA & KOTITI,113,,Woven,,cotton 100%,,,,,NaN,NaN,137.3291,149.5361,NaN,NaN,NaN,0,NaN,NaN,0,0,138.3838,0.03,1.00E-04,NaN,NaN,40146.74,34103.02,0.52
BIG STRIPE,KTTA & KOTITI,244,,knit,,"cotton 64%, ",polyester 36%,,,,NaN,NaN,4690.552,10940.55,NaN,NaN,NaN,0,NaN,NaN,0,0,201.0101,0.03,1.00E-04,NaN,NaN,721678.8,655370.2,0.47
BM-3651Z4,KTTA & KOTITI,112,,Woven,,cotton 100%,,,,,NaN,NaN,2346.802,149.5361,NaN,NaN,NaN,0,NaN,NaN,0,0,85.35354,0.03,1.00E-04,NaN,NaN,1000000,1000000,0.1
BONTEX-1153,KTTA & KOTITI,187,,Woven,,"polyamide 88%, ",Polyurethane 12%,,,,NaN,NaN,12496.95,14059.45,NaN,NaN,NaN,0,NaN,NaN,0,0,344.9495,0.03,1.00E-04,NaN,NaN,546344.9,709277.8,1.164
BPT-829HZ,KTTA & KOTITI,184,,knit,,"wool 48%, ","Modal47%, ",polyamide 5%,,,NaN,NaN,6246.948,1559.448,NaN,NaN,NaN,0,NaN,NaN,0,0,212.6263,0.03,1.00E-04,NaN,NaN,1000000,1000000,0.271
BPTS-81089,KTTA & KOTITI,166,,knit,,"cotton 56%, ",polyamide 34%,,,,NaN,NaN,216.6748,94.60449,NaN,NaN,NaN,0,NaN,NaN,0,0,186.8687,0.03,1.00E-04,NaN,NaN,28858.16,13994.27,0.54
BPTS-PE16202,KTTA & KOTITI,205,,knit,,"cotton 48%, ","polyester 38%, ","linen 10%,", EL 4%,,NaN,NaN,387.5732,344.8486,NaN,NaN,NaN,0,NaN,NaN,0,0,143.4343,0.03,1.00E-04,NaN,NaN,307497.4,450882.8,0.27
BPTS-PN11319,KTTA & KOTITI,106,,knit,,"polyamide 84%,",EL 16%,,,,NaN,NaN,631.7139,1559.448,NaN,NaN,NaN,0,NaN,NaN,0,0,148.9899,0.03,1.00E-04,NaN,NaN,621856.3,357317.8,0.31
BPTS-PN11340,KTTA & KOTITI,39,,Woven,,polyamide 100%,,,,,NaN,NaN,827.0264,540.1611,NaN,NaN,NaN,0,NaN,NaN,0,0,150,0.03,1.00E-04,NaN,NaN,352408.1,210454.5,0.33
BPTS-PN14262,KTTA & KOTITI,187,,knit,,"polyester 77%, ",EL 23%,,,,NaN,NaN,485.2295,2346.802,NaN,NaN,NaN,0,NaN,NaN,0,0,135.8586,0.03,1.00E-04,NaN,NaN,404060.3,437163.4,0.25
BPTS-PN16090,KTTA & KOTITI,270,,Woven,,"polyester 95%, ",EL 5%,,,,NaN,NaN,485.2295,387.5732,NaN,NaN,NaN,0,NaN,NaN,0,0,167.6768,0.03,1.00E-04,NaN,NaN,396269.4,653162.8,0.31
BPTS-PN17092,KTTA & KOTITI,203,,knit,,"PTT 65%, ",polyester 35%,,,,NaN,NaN,411.9873,588.9893,NaN,NaN,NaN,0,NaN,NaN,0,0,148.4848,0.03,1.00E-04,NaN,NaN,390875.3,415263.9,0.28
BPTS-PN17153,KTTA & KOTITI,336,,Woven,,"acylic 60%,",polyester 40%,,,,NaN,NaN,1174.927,973.5107,NaN,NaN,NaN,0,NaN,NaN,0,0,151.0101,0.03,1.00E-04,NaN,NaN,335396,531666.1,0.32
C180007-1,KTTA & KOTITI,137,,Woven,,"polyester 35%, ","cotton 30%, ","viscose 30%, ",SE 5%,,NaN,NaN,173.9502,94.60449,NaN,NaN,NaN,0,NaN,NaN,0,0,164.6465,0.03,1.00E-04,NaN,NaN,111221.2,38283.97,0.41
CD90SP20(MELANGE),KTTA & KOTITI,161,,Woven,,polyamide 100%(KEVLAR 19%),,,,,NaN,NaN,241.0889,76.29395,NaN,NaN,NaN,0,NaN,NaN,0,0,177.2727,0.03,1.00E-04,NaN,NaN,143483,342335.7,0.42
CHANNEL STRIPE,KTTA & KOTITI,151,,Woven,,"Modal54%, ",polyester 46%,,,,NaN,NaN,485.2295,7809.448,NaN,NaN,NaN,0,NaN,NaN,0,0,134.3434,0.03,1.00E-04,NaN,NaN,494664.4,852438.3,0.42
CL-010,KTTA & KOTITI,200,,Woven,Twill,"polyester 97%, ",EL 3%,,,,NaN,NaN,149.5361,173.9502,NaN,NaN,NaN,0,NaN,NaN,0,0,165.6566,0.03,1.00E-04,NaN,NaN,117883.2,136282,0.39
COCOA,KTTA & KOTITI,244,,Woven,Twill,"wool 88%,",Silk 12%,,,,NaN,NaN,6246.948,6246.948,NaN,NaN,NaN,0,NaN,NaN,0,0,135.8586,0.03,1.00E-04,NaN,NaN,1000000,1000000,0.208
COMO METAL,KTTA & KOTITI,85,,Woven,,polyester 100%,,,,,NaN,NaN,5471.802,7809.448,NaN,NaN,NaN,0,NaN,NaN,0,0,129.2929,0.03,1.00E-04,NaN,NaN,1000000,1000000,0.53
COMO TWEED,KTTA & KOTITI,326,,knit,,"polyester 96%,",EL 4%,,,,NaN,NaN,13278.2,37503.05,NaN,NaN,NaN,0,NaN,NaN,0,0,213.6364,0.03,1.00E-04,NaN,NaN,1000000,1000000,0.773
CONSTELLATION,KTTA & KOTITI,163,,Woven,,"polyester 91%, ",Silk 9%,,,,NaN,NaN,973.5107,540.1611,NaN,NaN,NaN,0,NaN,NaN,0,0,111.1111,0.03,1.00E-04,NaN,NaN,545102.4,616357.6,0.24
D0411,KTTA & KOTITI,201,,Woven,,"wool 91%, ","Silk 7%, ","ME 1%,",VI 1%,,NaN,NaN,3897.095,241.0889,NaN,NaN,NaN,0,NaN,NaN,0,0,249.4949,0.03,1.00E-04,NaN,NaN,890994.7,30357.51,0.446
D0600-1,KTTA & KOTITI,135,,Woven,,"cotton 89%, ",polyamide 3%,,,,NaN,NaN,3512.573,6246.948,NaN,NaN,NaN,0,NaN,NaN,0,0,335.3535,0.03,1.00E-04,NaN,NaN,400358.1,103269.1,0.63
DG-9926,KTTA & KOTITI,149,,Woven,,"Modal52%, ",polyester 48%,,,,NaN,NaN,296.0205,2346.802,NaN,NaN,NaN,0,NaN,NaN,0,0,53.0303,0.03,1.00E-04,NaN,NaN,206493.7,869917.8,0.176
DG-9947,KTTA & KOTITI,142,,knit,,"polyester 83%, ","EL 11%, ",ME 6%,,,NaN,NaN,344.8486,24996.95,NaN,NaN,NaN,0,NaN,NaN,0,0,200,0.03,1.00E-04,NaN,NaN,165020.4,116197.4,0.37
DJ-174,KTTA & KOTITI,153,,knit,,"polyester 90%, ",EL 10%,,,,NaN,NaN,4690.552,1321.411,NaN,NaN,NaN,0,NaN,NaN,0,0,326.2626,0.03,1.00E-04,NaN,NaN,479410.5,122044.3,1.175
DK-2728-14,KTTA & KOTITI,144,,Woven,,"polyamide 61%, ","polyester 33%, ",Polyurethane 6%,,,,,,,,,,,,,,,,,,,,,,
DK-2741-1S,KTTA & KOTITI,115,,knit,,"polyester 93%,",EL 7%,,,,,,,,,,,,,,,,,,,,,,,
DK-2743-6A,KTTA & KOTITI,136,,Woven,,"Modal60%, ",polyester 40%,,,,,,,,,,,,,,,,,,,,,,,
DK-2746-1,KTTA & KOTITI,149,,Woven,,"Modal85%,",polyester 15%,,,,,,,,,,,,,,,,,,,,,,,
DK-2749-1,KTTA & KOTITI,111,,Woven,,cotton 100%,,,,,,,,,,,,,,,,,,,,,,,,
DK-2749-1W,KTTA & KOTITI,242,,Woven,,"polyester 96%, ",EL 4%,,,,,,,,,,,,,,,,,,,,,,,
"DK-2749-4W
",KTTA & KOTITI,150,,Woven,,"Modal72%, ",polyester 28%,,,,,,,,,,,,,,,,,,,,,,,
DK-2771-1,KTTA & KOTITI,118,,Woven,,polyamide 95%,", Polyurethane 5%",,,,,,,,,,,,,,,,,,,,,,,
"DK-2799-1
",KTTA & KOTITI,109,,Woven,,"cottontton 80%, ","Silk 11%, ",polyamide 9%,,,,,,,,,,,,,,,,,,,,,,
DK-2799-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DK-2799-11,SwatchOn,344,,knit,Dobby/Jacquard,"Acrylinenc(50%), ","Polyester(40%), ",woolol(10%),,,,,,,,,,,,,,,,,,,,,,
DK-2799-12,SwatchOn,261,,knit,rib,"Polyester(71%), ","Cotton(24%),",PU (Polyurethane)(5%),,,,,,,,,,,,,,,,,,,,,,
"DK-2799-13
",SwatchOn,368,,knit,interlock,"Polyester(57%), ","Acrylinenc(22%), ","Viscose Rayon(10%), ","Cotton(8%), ",PU (Polyurethane)(3%),,,,,,,,,,,,,,,,,,,,
DK-2799-6,SwatchOn,315,,knit,interlock,"Polyester(64%), ","Cotton(34%), ",PU (Polyurethane)(2%),,,,,,,,,,,,,,,,,,,,,,
DK-2799-7,SwatchOn,285,,Others,Vegan Leather,Polyester(100%),,,,,,,,,,,,,,,,,,,,,,,,
DK-2799-8,SwatchOn,284,,knit,Pique,"Cotton(64%),"," Polyester(34%), ",PU (Polyurethane)(2%),,,,,,,,,,,,,,,,,,,,,,
DK-2799-9,SwatchOn,256,,knit,interlock,"Polyester(63%), ","Viscose Rayon(34%), ",PU (Polyurethane)(3%),,,,,,,,,,,,,,,,,,,,,,
DK-2804-1S,SwatchOn,416,,knit,rib,"Cotton(94%), ",PU (Polyurethane)(6%),,,,,,,,,,,,,,,,,,,,,,,
DK-2806-1A,SwatchOn,509,,knit,French Terry,"Cotton(100%), ",,,,,,,,,,,,,,,,,,,,,,,,
DK-2806-6,SwatchOn,240,,knit,Fleece,"Polyester(85%),", Cotton(15%),,,,,,,,,,,,,,,,,,,,,,,
DK-2806-7,SwatchOn,169,,knit,single jersey,"linennen(55%), ",Viscose Rayon(45%),,,,,,,,,,,,,,,,,,,,,,,
DK-2806-8B,SwatchOn,200,,knit, Ponte,"Cotton(54%), ","Polyester(31%), ","Lyocell(10%), ",PU (Polyurethane)(5%),,,,,,,,,,,,,,,,,,,,,
DK-2807-6,SwatchOn,280,,knit,single jersey,"Polyester(86%), ",PU (Polyurethane)(14%),,,,,,,,,,,,,,,,,,,,,,,
"DK-2807-7
",SwatchOn,228,,knit,single jersey,Cotton(100%),,,,,,,,,,,,,,,,,,,,,,,,
DK-2809-2,SwatchOn,244,,knit,rib,"Cotton(96%), ",PU (Polyurethane)(4%),,,,,,,,,,,,,,,,,,,,,,,
DK-2810-1A,SwatchOn,231,,knit,single jersey,"Polyester(91%), ",PU (Polyurethane)(9%),,,,,,,,,,,,,,,,,,,,,,,
DK-2810-1B,SwatchOn,265,,Others,Vegan Leather,Polyester(100%),,,,,,,,,,,,,,,,,,,,,,,,
DK-2813-1,SwatchOn,245,,woven,plain,PU (Polyurethane)(100%),,,,,,,,,,,,,,,,,,,,,,,,
DK-2813-4,SwatchOn,200,,knit,rib,Cotton(100%),,,,,,,,,,,,,,,,,,,,,,,,
DK-2814-1,SwatchOn,222,,Others,Vegan Leather,PU (Polyurethane)(100%),,,,,,,,,,,,,,,,,,,,,,,,
DK-2817-1A,SwatchOn,280,,knit,Pique,"Cotton(64%),","Polyester(34%), ",PU (Polyurethane)(2%),,,,,,,,,,,,,,,,,,,,,,
DK-2822-1,SwatchOn,284,,knit,rib,"Cotton(96%), ",PU (Polyurethane)(4%),,,,,,,,,,,,,,,,,,,,,,,
DK-2823-1,SwatchOn,184,,knit,single jersey,"Cotton(80%), ",Polyester(20%),,,,,,,,,,,,,,,,,,,,,,,
DK-2824-4,SwatchOn,460,,Woven ,Boucle,"Acrylinenc(50%), ","woolol(27%), ",Nylon(23%),,,,,,,,,,,,,,,,,,,,,,
DK-2825-1,SwatchOn,356,,knit,interlock,"Polyester(81%), ","Viscose Rayon(16%), ",PU (Polyurethane)(3%),,,,,,,,,,,,,,,,,,,,,,
DK-2830-1,SwatchOn,354,,Others,Vegan Leather,PU (Polyurethane)(100%),,,,,,,,,,,,,,,,,,,,,,,,
DK-2831-1,SwatchOn,208,,knit,Dobby/Jacquard,"Cotton(66%),","Polyester(25%), ",PU (Polyurethane)(9%),,,,,,,,,,,,,,,,,,,,,,
DK-2833-2,SwatchOn,288,,knit,interlock,"Polyester(90%), ",Viscose Rayon(10%),,,,,,,,,,,,,,,,,,,,,,,
"DK-2833-3
",SwatchOn,184,,knit,French Terry,Cotton(100%),,,,,,,,,,,,,,,,,,,,,,,,
DK-2834-1,SwatchOn,176,,Others,Vegan Leather,Polyester(100%),,,,,,,,,,,,,,,,,,,,,,,,
"DK-2835-1
",SwatchOn,315,,knit, Ponte,"Polyester(85%), ","Viscose Rayon(10%), ",PU (Polyurethane)(5%),,,,,,,,,,,,,,,,,,,,,,
DK-2838-1,SwatchOn,410,,knit,interlock,"Cotton(53%),"," Polyester(38%), ",TENCEL™(9%),,,,,,,,,,,,,,,,,,,,,,
DK-2838-2,SwatchOn,366,,knit,interlock,"Polyester(87%), ","Viscose Rayon(10%), ",PU (Polyurethane)(3%),,,,,,,,,,,,,,,,,,,,,,
DK-2841-1A,SwatchOn,152,,knit,Velvet,"Viscose Rayon(60%), ",Polyester(40%),,,,,,,,,,,,,,,,,,,,,,,
DK-2842-3,SwatchOn,200,,knit,rib,"Acrylinenc(60%),",Viscose Rayon(40%),,,,,,,,,,,,,,,,,,,,,,,
DK-2842-4,SwatchOn,294,,knit,interlock,Polyester(100%),,,,,,,,,,,,,,,,,,,,,,,,
DK-2844-1,SwatchOn,288,,knit,single jersey,"Polyester(44%),","Nylon(41%), ",PU (Polyurethane)(15%),,,,,,,,,,,,,,,,,,,,,,
DK-2844-1,SwatchOn,360,,knit,rib,"Cotton(93%), ",PU (Polyurethane)(7%),,,,,,,,,,,,,,,,,,,,,,,
DK-2844-2,SwatchOn,161,,knit,single jersey,"Cotton(60%), ",Polyester(40%),,,,,,,,,,,,,,,,,,,,,,,
DK-2844-2,SwatchOn,330,,Others,Vegan Leather,PU (Polyurethane)(100%),,,,,,,,,,,,,,,,,,,,,,,,
DK-2844-3,SwatchOn,716,,woven,plain,Polyester(100%),,,,,,,,,,,,,,,,,,,,,,,,
DK-2844-3,SwatchOn,282,,Others,Vegan Leather,Polyester(100%),,,,,,,,,,,,,,,,,,,,,,,,
DK-2844-4,SwatchOn,276,,knit,interlock,"Polyester(78%), ",Cotton(22%),,,,,,,,,,,,,,,,,,,,,,,
DK-2844-4,SwatchOn,156,,woven,plain,Cork(100%),,,,,,,,,,,,,,,,,,,,,,,,
DK-2848-1,SwatchOn,204,,Others,Vegan Leather,Polyester(100%),,,,,,,,,,,,,,,,,,,,,,,,
"DK-2848-1
",SwatchOn,150,,knit,jersey,Cotton(100%),,,,,,,,,,,,,,,,,,,,,,,,
DK-2849-1,SwatchOn,172,,knit,rib,"Cotton(56%), ","TENCEL™(38%), ",PU (Polyurethane)(6%),,,,,,,,,,,,,,,,,,,,,,
DK-2849-2,SwatchOn,120,,knit,jersey,"Cotton(94%), ",PU (Polyurethane)(6%),,,,,,,,,,,,,,,,,,,,,,,
DK-2850-1,SwatchOn,198,,knit,interlock,"Cotton(59%), ",Polyester(41%),,,,,,,,,,,,,,,,,,,,,,,
DK-2850-1,SwatchOn,396,,knit,rib,"Cotton(95%), ",PU (Polyurethane)(5%),,,,,,,,,,,,,,,,,,,,,,,
DK-2850-2,SwatchOn,649,,woven,plain,Polyester(100%),,,,,,,,,,,,,,,,,,,,,,,,
DK-2850-2,SwatchOn,256,,knit,jersey,Cotton(100%),,,,,,,,,,,,,,,,,,,,,,,,
DK-2850-3,SwatchOn,324,,knit,interlock,"Viscose Rayon(55%), ","Polyester(36%), ",PU (Polyurethane)(9%),,,,,,,,,,,,,,,,,,,,,,
"DK-2850-3
",SwatchOn,212,,knit,jersey,"Viscose Rayon(95%), ",PU (Polyurethane)(5%),,,,,,,,,,,,,,,,,,,,,,,
DN-7724SD,SwatchOn,349,,Others,Vegan Leather,Polyester(100%),,,,,NaN,NaN,576.7822,192.2607,NaN,NaN,NaN,0,NaN,NaN,0,0,194.9495,0.03,1.00E-04,NaN,NaN,32946.95,282518.6,0.44
DN-7748-J,SwatchOn,296,,Knit ,Neoprene/Scuba,"Viscose Rayon(40%), ","Polyester(30%), ",Cotton(30%),,,NaN,NaN,436.4014,271.6064,NaN,NaN,NaN,0,NaN,NaN,0,0,186.8687,0.03,1.00E-04,NaN,NaN,175324.9,201512.9,0.452
DNN-4034-OP-6-2L,SwatchOn,228,,knit,interlock,Cotton(100%),,,,,NaN,NaN,241.0889,192.2607,NaN,NaN,NaN,0,NaN,NaN,0,0,171.2121,0.03,1.00E-04,NaN,NaN,267178.5,464928.2,0.33
DNN-4150FD BRUSHED,SwatchOn,334,,knit,jersey,Cotton(100%),,,,,NaN,NaN,1516.724,1559.448,NaN,NaN,NaN,0,NaN,NaN,0,0,217.1717,0.03,1.00E-04,NaN,NaN,272082.9,137538.9,0.69
DNPD-4022,,,,,,,,,,,NaN,NaN,1077.271,241.0889,NaN,NaN,NaN,0,NaN,NaN,0,0,185.8586,0.03,1.00E-04,NaN,NaN,269291.1,113098.2,0.55
DONGYANG SILK #2,SwatchOn,366,,knit,interlock,"Polyester(87%),"," Viscose Rayon(10%), ",PU (Polyurethane)(3%),,,NaN,NaN,4592.896,1370.239,NaN,NaN,NaN,0,NaN,NaN,0,0,243.9394,0.03,1.00E-04,NaN,NaN,519885.1,464913.9,0.462
DOWN SKIN,SwatchOn,328,,knit,Fleece,"Polyester(78%), ",Cotton(22%),,,,NaN,NaN,1559.448,497.4365,NaN,NaN,NaN,0,NaN,NaN,0,0,253.0303,0.03,1.00E-04,NaN,NaN,650440.9,205781.8,0.51
DP-J02008-SR01,SwatchOn,175,,knit,jersey,"Polyester(88%), ",PU (Polyurethane)(12%),,,,NaN,NaN,149.5361,149.5361,NaN,NaN,NaN,0,NaN,NaN,0,0,151.0101,0.03,1.00E-04,NaN,NaN,12403.3,7350.22,0.372
DP-J03647-SR02,SwatchOn,265,,knit,jersey,"Polyester(62%), ","Viscose Rayon(34%), ",PU (Polyurethane)(4%),,,NaN,NaN,485.2295,271.6064,NaN,NaN,NaN,0,NaN,NaN,0,0,207.5758,0.03,1.00E-04,NaN,NaN,130502.1,168782.8,0.79
DP-J50997-SC30,SwatchOn,156,,Woven ,Embroidered+Lace,"Nylon(50%),", Cotton(50%),,,,NaN,NaN,119.0186,119.0186,NaN,NaN,NaN,0,NaN,NaN,0,0,214.6465,0.03,1.00E-04,NaN,NaN,12439.43,8844.164,0.462
DP-J50998-SR30,SwatchOn,201,,knit,Dobby/Jacquard,"Cotton(57%), ","TENCEL™(38%), ",PU (Polyurethane)(5%),,,NaN,NaN,192.2607,149.5361,NaN,NaN,NaN,0,NaN,NaN,0,0,188.8889,0.03,1.00E-04,NaN,NaN,105544,230324.8,0.47
DP-J52014-SD30,SwatchOn,303,,knit,jersey,"Polyester(44%),"," Nylon(41%),",PU (Polyurethane)(15%),,,NaN,NaN,802.6123,588.9893,NaN,NaN,NaN,0,NaN,NaN,0,0,204.5455,0.03,1.00E-04,NaN,NaN,55658.61,30391.74,0.534
DRAGONFLY METAL JQD,SwatchOn,232,,Knit ,Velvet,"Polyester(91%),",PU (Polyurethane)(9%),,,,NaN,NaN,6057.739,49996.95,NaN,NaN,NaN,0,NaN,NaN,0,0,249.4949,0.03,1.00E-04,NaN,NaN,1000000,1000000,0.574
DSS-01,SwatchOn,104,,woven,poplin,Cotton(100%),,,,,NaN,NaN,12496.95,87503.05,NaN,NaN,NaN,0,NaN,NaN,0,0,354.5454,0.03,1.00E-04,NaN,NaN,726391.2,1000000,1.038
DSS-02,SwatchOn,200,,knit,interlock,"Cotton(74%),"," Lyocell(15%), ",Nylon(11%),,,NaN,NaN,6246.948,49996.95,NaN,NaN,NaN,0,NaN,NaN,0,0,256.0606,0.03,1.00E-04,NaN,NaN,1000000,1000000,0.626
DSS-04,SwatchOn,194,,knit,jersey,"Polyester(69%),"," Viscose Rayon(16%), ","Cotton(10%), ",PU (Polyurethane)(5%),,NaN,NaN,3121.948,24996.95,NaN,NaN,NaN,0,NaN,NaN,0,0,184.3434,0.03,1.00E-04,NaN,NaN,183413,423530.2,0.552
DSS-05,SwatchOn,303,,Others,Vegan Leather,PU (Polyurethane)(100%),,,,,NaN,NaN,4690.552,24996.95,NaN,NaN,NaN,0,NaN,NaN,0,0,224.7475,0.03,1.00E-04,NaN,NaN,493986.3,1000000,0.687
DSS-06,SwatchOn,96,,Others ,Tyvek,"PU (Polyurethane)(50%),",PE (Polyethylene)(50%),,,,NaN,NaN,9378.052,48440.55,NaN,NaN,NaN,0,NaN,NaN,0,0,188.8889,0.03,1.00E-04,NaN,NaN,1000000,1000000,0.57
DSS-08,SwatchOn,36,,woven,plain,Polyester(100%),,,,,NaN,NaN,1467.896,6246.948,NaN,NaN,NaN,0,NaN,NaN,0,0,130.8081,0.03,1.00E-04,NaN,NaN,273205.4,301309.9,0.374
DSS-11,SwatchOn,408,,knit,interlock,"Polyester(82%), ","Viscose Rayon(14%), ",PU (Polyurethane)(4%),,,NaN,NaN,7809.448,24996.95,NaN,NaN,NaN,0,NaN,NaN,0,0,297.4747,0.03,1.00E-04,NaN,NaN,141163.9,1000000,0.785
DSS-12,SwatchOn,468,,knit,Fleece,Cotton(100%),,,,,NaN,NaN,1998.901,12112.43,NaN,NaN,NaN,0,NaN,NaN,0,0,167.1717,0.03,1.00E-04,NaN,NaN,670963.6,1000000,0.466
DSS-13,SwatchOn,284,,other,vegan Leather,PU (Polyurethane)(100%),,,,,NaN,NaN,1174.927,18753.05,NaN,NaN,NaN,0,NaN,NaN,0,0,206.0606,0.03,1.00E-04,NaN,NaN,513246,771302.3,0.6
DSS-17,SwatchOn,368,,woven, Tweed,"Acrylinenc(45%), ","woolol(29%), ","Polyester(15%), ",Nylon(11%),,NaN,NaN,2346.802,12496.95,NaN,NaN,NaN,0,NaN,NaN,0,0,231.8182,0.03,1.00E-04,NaN,NaN,344290.4,1000000,0.828
DSS-20,SwatchOn,252,,knit,interlock,"Acrylinenc(60%), ",Viscose Rayon(40%),,,,NaN,NaN,296.0205,12496.95,NaN,NaN,NaN,0,NaN,NaN,0,0,163.1313,0.03,1.00E-04,NaN,NaN,427848.2,676050.3,0.43
DSS-21,SwatchOn,264,,woven,Jacquard/Brocade,"woolol(50%), ","Polyester(25%),"," Acrylinenc(15%), ",Nylon(10%),,NaN,NaN,1657.104,12405.4,NaN,NaN,NaN,0,NaN,NaN,0,0,244.4444,0.03,1.00E-04,NaN,NaN,406354.6,1000000,0.84
DSS-24,SwatchOn,308,,knit,French Terry,"Acrylinenc(85%), ",Polyester(15%),,,,NaN,NaN,2346.802,12496.95,NaN,NaN,NaN,0,NaN,NaN,0,0,135.3535,0.03,1.00E-04,NaN,NaN,476793.8,933563.8,0.563
DSS-25,SwatchOn,344,,knit,Dobby/Jacquard,Acrylinenc(100%),,,,,NaN,NaN,3121.948,18753.05,NaN,NaN,NaN,0,NaN,NaN,0,0,136.8687,0.03,1.00E-04,NaN,NaN,1000000,1000000,0.37
EJ0011-1MS1,SwatchOn,140,,Others,PVC,Cork(100%),,,,,,,,,,,,,,,,,,,,,,,,
EJ0013,SwatchOn,160,,Knit ,Mesh/Tulle,Polyester(100%),,,,,,,,,,,,,,,,,,,,,,,,
"EJ0312-2MS
",SwatchOn,372,,knit,Dobby/Jacquard,"Polyester(82%), ","Viscose Rayon(14%), ",PU (Polyurethane)(4%),,,,,,,,,,,,,,,,,,,,,,
EJ8655-1M,SwatchOn,197,,knit,jersey,"Polyester(88%),",PU (Polyurethane)(12%),,,,,,,,,,,,,,,,,,,,,,,
